tamaño,tiempo del algoritmo por filas,tiempo del algoritmo por columnas
1,0.0000015750,0.0000007060
2,0.0000012860,0.0000011520
3,0.0000023430,0.0000022370
4,0.0000038510,0.0000039200
5,0.0000037250,0.0000036540
6,0.0000054410,0.0000054710
7,0.0000079570,0.0000079070
8,0.0000109700,0.0000159830
9,0.0000158950,0.0000161350
10,0.0000328130,0.0000207720
11,0.0000277670,0.0000277040
12,0.0000353600,0.0000353160
13,0.0000441690,0.0000440950
14,0.0000661600,0.0000582780
15,0.0000724150,0.0001289010
16,0.0000798840,0.0000795240
17,0.0000909190,0.0001202080
18,0.0001073590,0.0001071740
19,0.0002218750,0.0001318010
20,0.0002064420,0.0001457700
21,0.0001929250,0.0002475200
22,0.0001998750,0.0001994910
23,0.0002284450,0.0002995200
24,0.0002648640,0.0002664060
25,0.0003724820,0.0003228040
26,0.0004282260,0.0003426920
27,0.0004365290,0.0003941910
28,0.0004949760,0.0004146880
29,0.0005568600,0.0004725980
30,0.0005973690,0.0004803370
31,0.0005796290,0.0005953630
32,0.0006268440,0.0006935030
33,0.0006984460,0.0007155460
34,0.0007929500,0.0007622410
35,0.0008424760,0.0008404510
36,0.0009504290,0.0009905890
37,0.0010504040,0.0009962260
38,0.0010236960,0.0010444160
39,0.0011160800,0.0012549910
40,0.0012805050,0.0012869570
41,0.0013893550,0.0014648280
42,0.0014140030,0.0014004660
43,0.0015466930,0.0015918420
44,0.0017379290,0.0016287190
45,0.0017781620,0.0018183670
46,0.0018001200,0.0019863410
47,0.0019656370,0.0020979580
48,0.0022612040,0.0021848530
49,0.0022610460,0.0023228520
50,0.0023612790,0.0022887030
51,0.0027252800,0.0027180520
52,0.0027585150,0.0028283020
53,0.0028570960,0.0026977620
54,0.0031128350,0.0029394130
55,0.0029313220,0.0032315420
56,0.0032703240,0.0033672220
57,0.0035778810,0.0037243960
58,0.0035369700,0.0035865410
59,0.0038644120,0.0041139160
60,0.0039905310,0.0042027590
61,0.0045976040,0.0046466160
62,0.0046949180,0.0045754790
63,0.0050286480,0.0049270280
64,0.0051400390,0.0051644250
65,0.0054409390,0.0053694940
66,0.0056322440,0.0056545970
67,0.0055207410,0.0060913870
68,0.0061739180,0.0060491320
69,0.0063260730,0.0064047860
70,0.0069457520,0.0071747640
71,0.0069469230,0.0071864530
72,0.0076385650,0.0075461920
73,0.0079045350,0.0078961930
74,0.0081146070,0.0078040870
75,0.0080406040,0.0082488260
76,0.0085277780,0.0085970690
77,0.0091482550,0.0087470480
78,0.0091577300,0.0089673360
79,0.0098130810,0.0094736820
80,0.0098792090,0.0099777970
81,0.0103817550,0.0104828210
82,0.0108976840,0.0110675690
83,0.0110404220,0.0107440020
84,0.0115949910,0.0114543590
85,0.0114944340,0.0113431690
86,0.0120163190,0.0117590590
87,0.0126282270,0.0126613640
88,0.0126779960,0.0129409120
89,0.0126899840,0.0132627450
90,0.0139834050,0.0135414100
91,0.0139405420,0.0136760940
92,0.0150675600,0.0145089820
93,0.0154542750,0.0152714120
94,0.0159118410,0.0160359900
95,0.0163127300,0.0162432360
96,0.0162884540,0.0172029570
97,0.0174362540,0.0170723000
98,0.0184633020,0.0173281700
99,0.0188343310,0.0185593400
100,0.0197250140,0.0195608350
101,0.0200510480,0.0201456650
102,0.0199266440,0.0194146380
103,0.0208266480,0.0202443630
104,0.0212174380,0.0212292450
105,0.0214929270,0.0228368040
106,0.0227313040,0.0223018860
107,0.0234323110,0.0267438250
108,0.0258200280,0.0256726290
109,0.0276603100,0.0250879780
110,0.0258968630,0.0266039400
111,0.0297727800,0.0268903460
112,0.0273520080,0.0296328100
113,0.0308077720,0.0286597050
114,0.0289967810,0.0312407810
115,0.0288042580,0.0287714660
116,0.0286417990,0.0289894740
117,0.0300204930,0.0300977820
118,0.0306040760,0.0306655470
119,0.0315295300,0.0313457570
120,0.0332745930,0.0327249680
121,0.0332581140,0.0342439980
122,0.0346803470,0.0349599190
123,0.0347905340,0.0340263860
124,0.0357661760,0.0354187650
125,0.0355933800,0.0358816640
126,0.0377830640,0.0375142470
127,0.0385437630,0.0387355400
128,0.0399086580,0.0408432290
129,0.0401719500,0.0395627630
130,0.0410685460,0.0407638720
131,0.0421358430,0.0425231510
132,0.0435102430,0.0434646210
133,0.0441403380,0.0443717760
134,0.0449829800,0.0452969340
135,0.0459272450,0.0475178520
136,0.0470434910,0.0478312090
137,0.0487158700,0.0491778670
138,0.0495180180,0.0499252710
139,0.0508094530,0.0534738630
140,0.0514608010,0.0501547680
141,0.0517382580,0.0529033330
142,0.0539883180,0.0533910390
143,0.0543723670,0.0547842050
144,0.0549356170,0.0563449360
145,0.0561503400,0.0557437910
146,0.0577036590,0.0564183970
147,0.0593871240,0.0598929930
148,0.0605216430,0.0618657820
149,0.0617288080,0.0623360240
150,0.0626013240,0.0636680160
151,0.0817493190,0.0653628960
152,0.0657842370,0.0675157630
153,0.0723485660,0.0850327810
154,0.0700454480,0.0694491700
155,0.0703441220,0.0716812090
156,0.0705604980,0.0720033430
157,0.0725229840,0.0726171870
158,0.0741048870,0.0753564110
159,0.0775976720,0.0771739220
160,0.0776572540,0.0784728100
161,0.0795701960,0.0779844020
162,0.0792144680,0.0799658390
163,0.0809714670,0.0819759060
164,0.0845685790,0.0833205540
165,0.0841431620,0.0869609360
166,0.0864425700,0.0875153550
167,0.0886355890,0.0873744150
168,0.0895376620,0.0899510580
169,0.0924661230,0.0916316620
170,0.0949218960,0.0946675970
171,0.0952177300,0.0957295980
172,0.0954434470,0.0976700830
173,0.0979710330,0.0979456340
174,0.0978158640,0.0988985770
175,0.1015102140,0.1033038030
176,0.1035718340,0.1037271080
177,0.1056622600,0.1062184940
178,0.1083079470,0.1093221430
179,0.1112447370,0.1111658180
180,0.1140611720,0.1156350730
181,0.1115281410,0.1211917290
182,0.1158999300,0.1158602940
183,0.1227231410,0.1621511030
184,0.1371439270,0.1445004280
185,0.1184432410,0.1197223840
186,0.1234053270,0.1325921740
187,0.1338005020,0.1326891600
188,0.1338548980,0.1236186750
189,0.1598826880,0.1231190450
190,0.1283180770,0.1266100430
191,0.1812428490,0.1301141260
192,0.1289941620,0.1284964230
193,0.1341623870,0.1326222360
194,0.1359509460,0.1409653250
195,0.1467445860,0.1440241180
196,0.1481501970,0.1602599900
197,0.1513909240,0.1563246160
198,0.1613388510,0.1567517820
199,0.1575751780,0.1661889940
200,0.1617337500,0.1557508430
201,0.1569118710,0.1549111510
202,0.1659358900,0.1741974710
203,0.1763181560,0.1582091560
204,0.1603741550,0.1617574040
205,0.1677806010,0.1689325920
206,0.1666556970,0.1699961780
207,0.1736706320,0.1717794580
208,0.1732174760,0.1736007350
209,0.1765010420,0.1754905360
210,0.1829769170,0.1814333130
211,0.1807574130,0.1795878090
212,0.1831300870,0.1798585090
213,0.1834860320,0.1841151670
214,0.1865998160,0.1894461970
215,0.1868767040,0.1860866830
216,0.2130755160,0.1873832310
217,0.1896775550,0.1947834170
218,0.2033663870,0.2014566460
219,0.2040568740,0.2036018320
220,0.2051288860,0.2095233650
221,0.2088474760,0.2051204020
222,0.2087823930,0.2117501420
223,0.2152310950,0.2075681870
224,0.2127646420,0.2106021450
225,0.2140090100,0.2110278180
226,0.2143801290,0.2172560230
227,0.2328832500,0.2208500460
228,0.2251600640,0.2289675610
229,0.2320962990,0.2316257340
230,0.2327957170,0.2311896160
231,0.2356028370,0.2363120920
232,0.2427799440,0.2367952190
233,0.2410584810,0.2402138660
234,0.2446050000,0.2398191460
235,0.2473189090,0.2469344020
236,0.2479370660,0.2454753220
237,0.2510923270,0.2571908250
238,0.2632200720,0.2707242570
239,0.2635851070,0.2560317160
240,0.2609202160,0.2549517160
241,0.2598327290,0.2643407270
242,0.2685404770,0.2687482660
243,0.2909297850,0.2695556480
244,0.2756059840,0.2754730150
245,0.2823039740,0.2781441500
246,0.2817847100,0.2803256030
247,0.2950191390,0.2925939690
248,0.2947268960,0.2928074000
249,0.2974661570,0.2968785630
250,0.3016839420,0.3061826940
